Atleta
""
Victor Chrispim de Almeida
Matheus Coutinho dos Anjos
Leonardo Diniz do Couto
Francisco Assis Fortunato Estrela
Jean Pierre Pedro Silva
Pedro Henrique Ignez Guerra
Emanuel dos Reis Oliveira
Wilson Siqueira de Souza
Francinere Gonzaga de Queiroz
Fábio Wallace de Oliveira Rodrigues
Guilherme Xavier dos Santos
Davi Nascimento Campos
Franklin Sholna
Renan Ribeiro da Silva
Arthur da Silva Ramos
José Luiz Cavalcanti Pelaggi
Rafael Fontes Barbosa de Araújo
Luís Felipe de Almeida Barbosa
José Felipe de Azevedo Costa
Israel José de Castro Pinto
João Vitor do Espírito Santo Silva
Mário Luiz Nogueira
David Simplício
Leonardo Costa de Almeida
Kauã Ricardo Carvalho Marinho
Luiz Jorge Frederico de Sá
Derick Alves Brasil de Oliveira
Ramon da Silva Cruz
Ulysses Franco Delgado
Norival Pinto Lima Filho
Caique Trigueiro dos Santos
Nathan Ventura dos Santos
Wellington Ramos dos Santos
Marco Aurélio Chaves Miranda
Renan Machado da Silva
Douglas de Oliveira Pereira
Alsan Roberto Leandro Agapito
Samuel Gomes Ferreira
Matheus Vieira Silva
Jacimario da Silva Reis
Breno Silva de Araujo
Bernardo Daudt Ferreira
Rafael Nepomuceno Fonseca
João Victor Pimentel da Silva
Miguel Augusto Paixão Souza
Bruno Tavares de Andrade Salles
Luiz Eduardo Felizardo da Silva
Ryan Francisco da Silva
Renato Mascarenhas Silva
Thiago Thomé Vieira
Pietro Marques de Carvalho
Ismael Martins Rodrigues
Felix de Freitas Gil da Mata
Gleiton Ribeiro Duarte
Wellington Marques Santos
Fellipe Gabriel Silva Ribeiro
Leônidas da Silva Barros Filho
Rodrigo de Almeida Fundão
Vandrick Moreira Gomes
Eduardo de Carvalho Motta
Samuel Botelho
Raphael Mandara Matutino
Guilherme Brant Pereira da Silva
João Vitor de Souza Gonçalves Maia
Marley Wyne Reis da Conceição
Xenon da Silva Cruz Ramos
Alexsandro Nascimento Vieira
João Vitor Pereira da Silva
Alex Sandro de Oliveira Frade
Miguel Gomes Dias
Enzo Oliveira de Brito
Phillipe Matheus Bandeira da Silva Araújo
Kelven Lacerda Figueira
Lucas Diniz Biondi de Freitas
André Thadeu Fernandes Cavalléro Silva
Renato Garcia Freire Soares Pinto
Adaílton Ferreira Silva Junior
Guilherme Cardoso dos Santos Passos
Loan Felisardo da Silva
Anselmo Adelino Costa
Carlos Henrique da Paz Santos
Nicholas Mendes Pereira
Gabriel Cavaliere Dutra
Bruno Tapajós Marcello
Thiago Santos Silva
Thales Costa de Amorim
Mariana Bayma da Silva
Gabriel Cardoso de Carvalho
Lucas Silva Nogueira
Felipe Neuser Imbuzeiro
André Luiz Guimarães Fonseca
Gustavo Fragoso Lethier de Mello
Marcelo Meirelles da Silva
Alexsander Ponciano Santos de Souza
Rafael Henrique Xavier
Francisco Glauber da Silva Lopes
João Guilherme Bertolino Borges
João Gabriel Silva Carneiro
Marcos José Gonçalves da Costa
Rodrigo Garcia Ribeiro Soares
Ivan Wilfried Longue Bille
Alexandre Vinicius Azevedo Lopes Cunha
Alexssandro Rodrigues Azevedo
Marcos Vinicius Dias Thomaz
Milton Jorge da Silva
Guilherme Souza Silva
Bruno Dantas de Oliveira da Silva
Maicon Leonardo Soares Zelcovit
Rômulo Ferreira Santos
Jarbas Ferreira da Silva
Vitor Onofre Mota
Matheus Pregioni Massena
Ericky Henrique Tostes
João Pedro Vicente Pereira
Romário Caio Corrêa de Melo
Alexandre Piccoli Lourenço
Felipe Freitas Borelli
Bruno Donato Franco Serra
Tiago Moreira Monsores do Nascimento
Almir Nilo Gomes Junior
Nathan Gonçalves de Souza
Wesley da Silva Baptista
Thiago Teles Mariz
José Felipe Cornejo Ormeño
Mayco Oliveira Zigatto
Matheus Rogério Gomes da Silva
Martin Gabriel Barrionuevo
Miguel Sixel Pena
André Cabral Rodrigues
Bruno Lima Malheiros
Matheus Jansen de Oliveira Costa de Andrade
Matheus Guimarães Viana Barbosa de Oliveira
Matheus Ricão Torres
Cainã Lucas Pereira Torquato
Camilo Iván Ordóñez Aristizábal
Erick Conceição de Moraes
Pedro Paulo Ferreira Silva dos Santos
Fábio Rodrigo da Silva Guedes
Mauro Sidney de Oliveira Castro
Iago Fortini Guedes Junqueira
Rodrigo da Silva Assucena
Ricardo Magalhães Machado
Nicholas Wallace Schneider
Renan Brandão de Oliveira
Mohamed Comitini
Benilson Lima de Araujo
Christyan do Nascimento Martins
Paulo Guilherme Silva Santos
Julio César Ourofino Moreira
João Gabriel Viana de Carvalho
Fernando Fernandes Nazareth
