0
BRUNO LUIS SANTOS DA SILVA
THALLES CHAGAS SILVA
FELIPE CHIAVONE CORCHOG
ARTHUR TEIXEIRA SILVA
ENRICO ANTUNES TOSTA
ISAQUE LUIZ ROCHA GONCALVES
JOAO PEDRO RESENDE PEREIRA
ANA CAROLINA JUSTINO REBECHI DA CRUZ
MIGUEL CAETANO ROSA
MATHEUS SOUZA ALVES
PEDRO COSTA DA MATA
PIETRO GIUFFRIDA D. DE AZEVEDO
RAFAELA ANGELON SCIAMARELLI
PEDRO AUGUSTO CHAGAS CARVALHO
JOAO PEDRO SILVA PANSANI
BRYAN VICTOR SANTANA DINIZ
OTAVIO BERTO
PEDRO MENDES DO NASCIMENTO
OSMAR VENTURA DO AMARAL NETO
MURILO JOANICO CAVALLIERI
PEDRO HENRIQUE FELIX BELO
LEONARDO BIGONI LEAO
LUIZ MARCELINO SILVA HERCULANO
BIANCA NEVES DE LISBOA
JENNIFER CHRISTINA DE SOUZA ANDRADE
BRENO SANCHES FIORUSSI
BRUNO LUIZ DEGLI ESPOSTI
GUSTAVO VITOR BOAVENTURA GOMES
KELVYN LUCAS NASCIMENTO
LEONARDO VIEIRA ACCORSI
RYAN OLIVEIRA FERREIRA
MICHEL ALEXANDRE G. REBONATO
ARTHUR DE FARIA BUERIS
NICOLAS NOGUEIRA RUPP
JADEN AKIN OLIVEIRA DA CONCEICAO
JOAO MARCELO FERNNADES DE LIMA PASTRE
JOAO VICTOR CUNHA FELIX
BENJAMIN PIRAGIBE
KAUE MARTINS DE OLIVEIRA LOPES
CAUE PEIXOTO PACHECO GOI
PEDRO HAUSEN PINNA
CAIO DE FIGUEIREDO TEIXEIRA
THIAGO DE LUCA CUNHA
AMYR GABRIEL SULIMAN
LEONARDO AUGUSTO DE LIMA SANTOS
LUIGI PERANDINI LIMPER
MIGUEL GUIMARAES VAZ
ANA GIULIA CASSIOLA ROSA
RYAN PABLO LEANDRO COELHO
GUSTAVO DA SILVA MELO
HENRIQUE FOZ DE LIMA
PIETRO DONDA CORREIA SANTOS
DIEGO PROENCA BARBOSA
FERNANDO RAPINI BORGES
GUSTAVO BITTENCOURT ROMEIRO
ESTEVAN CRISTOVAN ALVES M. MONTEIRO
VITOR HENRIQUE PANZA ODDONE
ENZO CAMPOS MONTEIRO
DAVI PESSOA CORREIA
OTAVIO SALOMAO RODRIGUES MAIA
GEOVANA SANTOS KASTELIC
GABRIEL SOUZA SILVA
EUFRAIM KALENDA LUMBANZILA
JULIO CESAR MALFI
RAFAEL KABBACH ROMANO GUEDES
GRAZIELA SANTANA SANTOS
MARIA EDUARDA SANTOS COSTA
FERNANDO SANTANA TORRANO
LUIZ FELIPE BOZZI SOUZA
RAFAEL MARTINS SILVA
PEDRO HENRIQUE DA SILVA M. F.LIMA
